seed_id,category,summary,best_variant,worst_variant,original_headline,original_rationale,original_clickbait_penalty,original_faithfulness,original_clarity,original_specificity,original_attractiveness,original_non_clickbait,original_overall,zero_shot_headline,zero_shot_rationale,zero_shot_clickbait_penalty,zero_shot_faithfulness,zero_shot_clarity,zero_shot_specificity,zero_shot_attractiveness,zero_shot_non_clickbait,zero_shot_overall,optimized_headline,optimized_rationale,optimized_clickbait_penalty,optimized_faithfulness,optimized_clarity,optimized_specificity,optimized_attractiveness,optimized_non_clickbait,optimized_overall,agentic_selected_headline,agentic_selected_rationale,agentic_selected_clickbait_penalty,agentic_selected_faithfulness,agentic_selected_clarity,agentic_selected_specificity,agentic_selected_attractiveness,agentic_selected_non_clickbait,agentic_selected_overall,zero_shot_local_final_score,zero_shot_local_quality_reward,zero_shot_local_pairwise_reward,zero_shot_local_pred_faithfulness,zero_shot_local_pred_clarity,zero_shot_local_pred_specificity,zero_shot_local_pred_overall,optimized_local_final_score,optimized_local_quality_reward,optimized_local_pairwise_reward,optimized_local_pred_faithfulness,optimized_local_pred_clarity,optimized_local_pred_specificity,optimized_local_pred_overall,agentic_selected_local_final_score,agentic_selected_local_quality_reward,agentic_selected_local_pairwise_reward,agentic_selected_local_pred_faithfulness,agentic_selected_local_pred_clarity,agentic_selected_local_pred_specificity,agentic_selected_local_pred_overall,agentic_vs_zero_overall_delta,agentic_vs_optimized_overall_delta,agentic_vs_zero_faithfulness_delta,agentic_vs_zero_clarity_delta,agentic_vs_zero_specificity_delta,agentic_vs_zero_attractiveness_delta,agentic_vs_zero_non_clickbait_delta,agentic_vs_zero_local_delta,agentic_vs_optimized_local_delta,case_type,agentic_loss_dimensions_vs_zero
22,news,"South Jersey, Group 3 2-Ocean City at 1-Clearview How they got here: Ocean City and Clearivew seem to meet in the sectional final every season, and it's no shock to see both programs back with the years they've both put together. Ocean City continued its impressive play from a year ago, earning wins against Haddonfield and Bishop Eustace to prove itself as one of the state's best. The Red ...",agentic_selected,optimized,"South Jersey, Group 3 final preview: Ocean City at Clearview",Accurately reflects the game preview while being clear and direct.,8.39721e-05,5,5,5,4,5,5,Ocean City Faces Clearview in South Jersey Group 3 Sectional Final,"Conveys the matchup accurately and clearly, interesting for readers.",9.597054e-05,5,5,5,4,5,5,Ocean City Faces Clearview in South Jersey Group 3 Sectional Final,Same as zero_shot; effectively states the matchup and context.,9.597054e-05,5,5,5,4,5,5,Ocean City and Clearview Meet Again in South Jersey Group 3 Final,"Highlights the rivalry aspect, making it compelling without being misleading.",9.189551e-05,5,5,5,5,5,5,6.1926193,4.5034747,0.6730204,4.7030582,4.773589,4.387124,4.4856577,6.1926193,4.5034747,0.6730204,4.7030582,4.773589,4.387124,4.4856577,6.3619533,4.633109,0.6563957,4.81143,4.8578615,4.6070976,4.6804686,0,0,0,0,0,1,0,0.1693340000000001,0.1693340000000001,tie_or_mixed,
23,finance,"Buy Microsoft on weakness to its semiannual value level at $131.71, or buy at Friday's close if the stock is above $138.17, the key weekly moving average. The target is its quarterly risky level at $152.47.",zero_shot,original,How to Trade Microsoft on Solid Earnings but No New Intraday High,Doesn't convey the specific buy levels and includes unsupported claim about earnings.,0.000100248915,2,2,1,2,2,2,Buy Microsoft at semiannual value level or above weekly moving average,Accurately captures the trading advice with specific levels.,0.000102207036,5,5,5,4,5,5,Buy Microsoft at semiannual value level or above weekly moving average,"Identical to zero_shot, providing clear and specific trading advice.",0.000102207036,5,5,5,4,5,5,Investors Urged to Buy Microsoft on Weakness or Above Key Moving Average,Communicates urgency but lacks specifics on price levels.,7.012128e-05,4,4,4,3,4,4,6.5285125,4.7064357,0.8519098,4.8672523,4.885198,4.698696,4.7785983,6.5285125,4.7064357,0.8519098,4.8672523,4.885198,4.698696,4.7785983,5.9809284,4.308394,0.88826245,4.5161276,4.6762514,3.9284735,4.2074146,-1,-1,-1,-1,-1,-1,-1,-0.5475840999999999,-0.5475840999999999,zero_shot_beats_agentic,"faithfulness, clarity, specificity, attractiveness, non_clickbait"
24,news,WATERBURY A tractor-trailer found itself stuck under a railroad bridge Monday morning. Police said the truck wedge itself under the bridge at West Main Street and Sperry Street. There were some delays in the area while they worked to remove the truck. It's unknown at this time if there was any structural damage to the bridge. Traffic Accident Tractor Trailer stuck under R&R bridge West ...,original,agentic_selected,Tractor-trailer wedges itself under Waterbury bridge Monday morning,Accurately describes the event with clarity and specificity.,0.00014434945,5,5,5,4,5,5,"Tractor-trailer gets stuck under railroad bridge in Waterbury, causing delays",Accurately conveys the incident and its impact on traffic.,0.0001619593,5,5,5,4,5,5,"Tractor-trailer gets stuck under railroad bridge in Waterbury, causing delays","Similar to 'zero_shot', it effectively details the incident.",0.0001619593,5,5,5,4,5,5,Waterbury Police Respond to Stuck Tractor-Trailer Under Bridge,"Focuses on police response, slightly less specific on the accident details.",0.00012401954,5,5,4,4,5,4,6.4791417,4.651853,0.887894,4.8421774,4.8654547,4.618211,4.710967,6.4791417,4.651853,0.887894,4.8421774,4.8654547,4.618211,4.710967,6.5033627,4.666273,0.90212274,4.8485484,4.8636827,4.6500483,4.7378626,-1,-1,0,0,-1,0,0,0.024221000000000714,0.024221000000000714,local_reward_overestimates_agentic,specificity
25,lifestyle,Adam's Corner and Fisher House provide military families resources such as housing and child care.,zero_shot,original,Adam's Corner celebrates the bravery of our Armed Forces and bring joy to children | Opinion,Focuses on bravery and joy without mentioning the specific resources.,0.9999472,2,2,2,3,3,2,Adam's Corner and Fisher House Offer Support for Military Families,Accurately describes the support provided without embellishment.,0.00015656649,5,5,5,4,5,5,Adam's Corner and Fisher House Offer Support for Military Families,"Identical to zero_shot, maintains clarity and precision.",0.00015656649,5,5,5,4,5,5,Adam's Corner and Fisher House Support Military Families with Housing and Child Care,Clearly highlights the two main resources provided to military families.,0.0003617345,5,5,5,4,5,5,6.6282115,4.717235,1.0685761,4.860915,4.876834,4.7388115,4.8045473,6.6282115,4.717235,1.0685761,4.860915,4.876834,4.7388115,4.8045473,6.6526723,4.7176156,1.1241388,4.8610916,4.874755,4.749033,4.8077536,0,0,0,0,0,0,0,0.02446079999999995,0.02446079999999995,tie_or_mixed,
26,news,"A Sacramento man has opened his doors to a Healdsburg couple and their 18 dogs, 11 of which are five-week-old puppies.",zero_shot,agentic_selected,Sacramento Man Takes Wildfire Evacuees And Their 18 Dogs,Captures the main point but lacks detail about the puppies.,0.00062651443,4,5,4,4,5,4,"Sacramento man houses Healdsburg couple and their 18 dogs, including puppies",Accurately conveys all key details and is engaging.,0.00040606316,5,5,5,5,5,5,"Sacramento man houses Healdsburg couple and their 18 dogs, including puppies",Identical to zero_shot; offers a complete view with clarity.,0.00040606316,5,5,5,5,5,5,Sacramento Man Welcomes Healdsburg Couple and Their 18 Dogs,Good headline but misses the detail about the puppies.,0.0008985651,4,5,4,4,5,4,6.5501375,4.6762314,0.98499274,4.850172,4.865766,4.6800814,4.755479,6.5501375,4.6762314,0.98499274,4.850172,4.865766,4.6800814,4.755479,6.561074,4.706969,0.91725016,4.866089,4.8775806,4.733493,4.7908545,-1,-1,-1,0,-1,-1,0,0.010936499999999683,0.010936499999999683,local_reward_overestimates_agentic,"faithfulness, specificity, attractiveness"
27,sports,Check out photos from the Monster Energy NASCAR Cup Series and NASCAR Xfinity Series playoff weekend at Kansas Speedway.,zero_shot,original,At-track photos: 2019 Kansas playoff weekend,"While the headline mentions the event and location, it lacks clear mention of the series associated with the weekend.",0.0001453723,4,4,3,3,5,3,Photos from NASCAR Cup and Xfinity Series Playoff Weekend at Kansas Speedway,"This headline accurately describes the event, is clear, and incorporates important details.",0.00019886337,5,5,5,4,5,5,Photos from NASCAR Cup and Xfinity Series Playoff Weekend at Kansas Speedway,Identical to the zero_shot; it captures all key details effectively.,0.00019886337,5,5,5,4,5,5,Kansas Speedway Hosts NASCAR Cup and Xfinity Series Playoff Events,This headline conveys the event and location well but lacks a direct mention of the photography.,8.390502e-05,4,4,4,4,5,4,6.535733,4.7021546,0.84700626,4.862961,4.864395,4.768443,4.811496,6.535733,4.7021546,0.84700626,4.862961,4.864395,4.768443,4.811496,6.5420904,4.6978335,0.87938577,4.865288,4.8686867,4.7454715,4.8059015,-1,-1,-1,-1,-1,0,0,0.006357400000000624,0.006357400000000624,local_reward_overestimates_agentic,"faithfulness, clarity, specificity"
28,sports,"Frank Vogel is aware of the great situation he's in with the Lakers, and he wants to make the best of it.",original,agentic_selected,"Frank Vogel says Lakers are 'coolest organization in the NBA,' calls coaching LeBron James and rest of team 'opportunity of a lifetime",The headline captures the essence of Vogel's sentiment about the Lakers and specifically quotes his praise.,0.0001711038,5,5,5,5,5,5,Frank Vogel aims to maximize opportunity with the Lakers,"While it conveys Vogel's intention, it lacks specific details of his comments and enthusiasm.",9.8102864e-05,4,5,3,4,5,4,Frank Vogel aims to maximize opportunity with the Lakers,"Similar to the zero_shot, it summarizes Vogel's aim but does not include his strong sentiments.",9.8102864e-05,4,5,3,4,5,4,Lakers' Frank Vogel Aims to Maximize Coaching Situation,The headline indicates Vogel's intention but misses the emotional and specific elements of his statement.,6.863086e-05,4,5,3,4,5,4,6.1033015,4.551197,0.3407422,4.7266884,4.7963667,4.4022474,4.5715523,6.1033015,4.551197,0.3407422,4.7266884,4.7963667,4.4022474,4.5715523,5.852836,4.3664293,0.35920942,4.556081,4.6930623,4.074291,4.335376,0,0,0,0,0,0,0,-0.2504654999999998,-0.2504654999999998,tie_or_mixed,
29,finance,"PROVIDENCE -- Rhode Island's seasonally adjusted unemployment rage for October was 3.6 percent, the same as September, the state Department of Labor and Training announced Thursday The number of unemployed Rhode Island residents -- those residents classified as available for and actively seeking employment -- was 19,900, down 100 from September, the DLT said. The number of employed Rhode ...",zero_shot,original,"R.I. unemployment rate stays at 3.6%, same as U.S",Mentioning the U.S. adds context but lacks specific details from the summary.,6.6706154e-05,4,5,3,4,5,4,Rhode Island's October unemployment rate remains steady at 3.6 percent,Clearly reflects the main claim and provides specificity.,0.00011166501,5,5,5,4,5,5,Rhode Island's October unemployment rate remains steady at 3.6 percent,Same as zero_shot; well-rounded and accurate.,0.00011166501,5,5,5,4,5,5,October Unemployment in Rhode Island Remains Stable at 3.6 Percent,Accurately conveys the information while remaining clear and specific.,8.803866e-05,5,5,5,4,5,5,6.5486474,4.7121015,0.89587474,4.8671584,4.883402,4.695332,4.790327,6.5486474,4.7121015,0.89587474,4.8671584,4.883402,4.695332,4.790327,6.542954,4.705488,0.9025047,4.864088,4.881623,4.6819286,4.7755356,0,0,0,0,0,0,0,-0.005693400000000182,-0.005693400000000182,tie_or_mixed,
30,finance,Curious just how far your dollar goes in Pleasant Valley? Here's what you can get in neighborhood apartment rentals for $900/month.,original,zero_shot,What apartments will $900 rent you in Pleasant Valley right now?,Directly addresses what $900 can rent in Pleasant Valley.,0.0002843067,5,5,5,4,5,5,Apartment Rentals in Pleasant Valley Available for $900/Month,Clearly states the rental cost and location.,0.00018207384,5,5,5,4,5,5,Apartment Rentals in Pleasant Valley Available for $900/Month,"Identical to zero_shot, clear and direct.",0.00018207384,5,5,5,4,5,5,Exploring $900 Monthly Apartment Options in Pleasant Valley Neighborhoods,Engaging and informative without being misleading.,0.00015989348,5,5,5,4,5,5,6.4970484,4.7153788,0.73368,4.8675947,4.8810673,4.74497,4.7885056,6.4970484,4.7153788,0.73368,4.8675947,4.8810673,4.74497,4.7885056,6.46593,4.7020383,0.7146039,4.8598022,4.883251,4.6882467,4.761348,0,0,0,0,0,0,0,-0.031118399999999546,-0.031118399999999546,tie_or_mixed,
31,autos,"Duane Roots' 1,500hp 6.2L Hemi Charger Hellcat runs on E90 and nitrous, with a huge helping of boost (18 psi) from a 4.5L Whipple blower.",zero_shot,original,"Horsepower! The 1,500hp Hellcat King","The headline lacks specific details about the car's features and misrepresents its function, making it less faithful.",0.98977053,2,3,2,4,3,2,"Duane Roots' 1,500hp Charger Hellcat Features E90 Fuel and Nitrous Boost",Clearly outlines key features of the car while being engaging and straightforward.,0.000120912475,5,5,5,4,5,5,"Duane Roots' 1,500hp Charger Hellcat Features E90 Fuel and Nitrous Boost","Similar to zero_shot, it accurately details the car's features and maintains clarity.",0.000120912475,5,5,5,4,5,5,"Duane Roots' 1,500hp Hemi Charger Hellcat Features E90 and Nitrous",Effectively communicates relevant features while remaining clear and direct.,0.00013025012,5,5,5,4,5,5,6.666444,4.7189283,1.1563072,4.8692675,4.879922,4.735708,4.799885,6.666444,4.7189283,1.1563072,4.8692675,4.879922,4.735708,4.799885,6.6549635,4.716792,1.1341395,4.8681436,4.879551,4.731502,4.795096,0,0,0,0,0,0,0,-0.011480500000000227,-0.011480500000000227,tie_or_mixed,
32,autos,Interstate 70 has reopened near Hoke Road after a rollover crash left all westbound lanes closed around 1 a.m.,original,optimized,I-70 westbound reopened after single-car rollover crash,Accurately describes the event and its location clearly.,0.00015996394,5,5,5,4,5,5,Interstate 70 reopens near Hoke Road after rollover crash cleared,Covers the necessary details in a clear and straightforward manner.,9.699749e-05,5,5,5,4,5,5,Interstate 70 reopens near Hoke Road after rollover crash cleared,Similar to zero_shot but slightly redundant due to lack of change.,9.699749e-05,5,5,5,4,5,5,Interstate 70 Reopens Near Hoke Road After Rollover Crash,"Presents the information effectively with proper capitalization, adding a polished touch.",8.701066e-05,5,5,5,4,5,5,6.525454,4.7149,0.8013591,4.8693485,4.870487,4.755722,4.812114,6.525454,4.7149,0.8013591,4.8693485,4.870487,4.755722,4.812114,6.5338535,4.717266,0.8166386,4.8698697,4.8733783,4.7570653,4.8188734,0,0,0,0,0,0,0,0.008399500000000337,0.008399500000000337,tie_or_mixed,
33,autos,"State Highway Patrol troopers tried to stop a vehicle after it went left of center around 2:19 a.m. on Park Road near state Route 49, according to a release from Wapakoneta Ohio State Highway Patrol.",zero_shot,original,"Troopers attempt to stop impaired driver, ends with vehicle into tree","The headline captures the main incident but adds the detail of the vehicle hitting a tree, which is not confirmed in the summary.",0.00036339843,4,4,3,3,4,4,State Highway Patrol Attempts to Stop Vehicle for Traffic Violation in Wapakoneta,This headline accurately reflects the incident and includes specific information about the location and action taken by the patrol.,6.896948e-05,5,5,4,4,5,5,State Highway Patrol Attempts to Stop Vehicle for Traffic Violation in Wapakoneta,Identical to zero_shot and thus maintains the same strengths.,6.896948e-05,5,5,4,4,5,5,State Highway Patrol Attempts to Stop Vehicle on Park Road,"This variant is clear and accurate, but lacks the context of the traffic violation.",6.6662404e-05,5,5,3,3,5,4,6.5723357,4.6952076,0.9651711,4.8689156,4.880374,4.725061,4.7886887,6.5723357,4.6952076,0.9651711,4.8689156,4.880374,4.725061,4.7886887,6.575172,4.6987557,0.96001047,4.871664,4.8805494,4.732802,4.791433,-1,-1,0,0,-1,-1,0,0.002836300000000236,0.002836300000000236,local_reward_overestimates_agentic,"specificity, attractiveness"
34,sports,"With the Miami Dolphins rebuilding and holding three 2020 first-round picks in the NFL draft, it is never too early to watch some of the top prospects across the college landscape. Week 11 of the college football season offers a few great opportunities to view some of these players in action against some of the best teams in the nation. Here's a look at a few top players you can watch in South ...",zero_shot,agentic_selected,Do some couch scouting for Dolphins draft: Here are top prospects to watch this weekend,Clearly conveys the focus on college prospects related to the Dolphins' draft.,0.7555712,5,5,4,4,5,4,"Dolphins Prepare for NFL Draft, Showcase Top College Prospects in Week 11",Accurately captures the Dolphins' focus on college prospects for the draft.,9.520888e-05,5,5,4,5,5,5,"Dolphins Prepare for NFL Draft, Showcase Top College Prospects in Week 11","Duplicating the zero_shot score, it accurately represents the content.",9.520888e-05,5,5,4,5,5,5,Week 11 College Football Highlights Key Prospects for Dolphins' Draft Strategy,Highlights key prospects but lacks explicit mention of the Dolphins' draft context.,0.00030527526,4,5,4,4,5,4,6.5137343,4.718323,0.767103,4.8663654,4.86875,4.759097,4.815244,6.5137343,4.718323,0.767103,4.8663654,4.86875,4.759097,4.815244,6.52245,4.7184277,0.7947781,4.870524,4.8753424,4.7403135,4.813654,-1,-1,-1,0,0,-1,0,0.00871569999999977,0.00871569999999977,local_reward_overestimates_agentic,"faithfulness, attractiveness"
35,sports,"HOUSTON The Astros have a reputation for being good at stealing signs and picking up on opposing pitchers' small tells, especially at Minute Maid Park. The Yankees know all too well what the Astros are capable of. In April, James Paxton got hit hard, allowing five earned runs on eight hits in just four innings work here. After that, the Yankees left-hander, who will start Game 2 for the Yankees Sunday night, said he was told he was tipping...",zero_shot,agentic_selected,"James Paxton, Yankees know Astros can and will pick up on pitching signs",The headline covers the main point but lacks specificity about the matchup context.,9.9351855e-05,4,4,3,3,5,4,Yankees' James Paxton acknowledges tipping pitches after Astros matchup in April,Clearly states the acknowledgment of tipping pitches in relation to a specific matchup.,7.452403e-05,5,5,4,4,5,5,Yankees' James Paxton acknowledges tipping pitches after Astros matchup in April,"Identical to zero_shot, maintains clarity and relevance.",7.452403e-05,5,5,4,4,5,5,Astros' Reputation for Sign Stealing Noted by Yankees Before Game 2,Notes Astros' reputation but doesn't directly tie it to Paxton's experience.,9.403562e-05,4,4,3,3,5,4,6.5740933,4.704973,0.9459625,4.873251,4.874934,4.73592,4.8052397,6.5740933,4.704973,0.9459625,4.873251,4.874934,4.73592,4.8052397,6.3711414,4.6211643,0.7036164,4.8272686,4.862274,4.574611,4.693218,-1,-1,-1,-1,-1,-1,0,-0.2029519000000004,-0.2029519000000004,zero_shot_beats_agentic,"faithfulness, clarity, specificity, attractiveness"
36,health,Intentionally infecting healthy people with the virus will enable scientists to better understand the progression of the illness.,zero_shot,original,Spreading the flu is putting researchers one step closer to a universal vaccine,Mentions flu and universal vaccine without supporting details from the summary.,0.0025403206,3,4,3,3,5,3,Scientists to Intentionally Infect Healthy Individuals for Virus Research,Directly reflects the summary with clarity and focus.,0.0001258933,5,5,4,4,5,5,Scientists to Intentionally Infect Healthy Individuals for Virus Research,Same as zero_shot; clear and accurately summarizes the action.,0.0001258933,5,5,4,4,5,5,Scientists Intentionally Infect Healthy Individuals to Study Virus Progression,Effectively communicates the study’s purpose while maintaining focus.,0.0009000024,5,5,4,4,5,5,6.5296736,4.665282,1.0034614,4.841586,4.880216,4.5911946,4.7299995,6.5296736,4.665282,1.0034614,4.841586,4.880216,4.5911946,4.7299995,6.599693,4.702757,1.0490552,4.8600655,4.885249,4.687722,4.7786407,0,0,0,0,0,0,0,0.07001940000000051,0.07001940000000051,tie_or_mixed,
37,lifestyle,"You won't believe these wedding gowns are made from only Quilted Northern toilet paper, tape, glue, and a needle and thread.",zero_shot,original,These 12 exquisite wedding dresses are made from toilet paper,Misses specific materials and could imply more than just toilet paper.,0.9999769,3,4,2,3,4,3,Wedding Gowns Created from Quilted Northern Toilet Paper and Craft Supplies,Accurately includes all materials and is clear and specific.,0.99576026,5,5,5,5,5,5,Wedding Gowns Created Using Quilted Northern Toilet Paper and Craft Supplies,Similar to zero_shot but with minor phrasing differences; equally effective.,0.9918847,5,5,5,5,5,5,Wedding Gowns Crafted from Quilted Northern Toilet Paper Materials,Clear and specific but slightly less engaging in phrasing.,0.9995757,5,4,5,5,5,4,6.1020694,4.7159038,1.0097103,4.8642673,4.8818917,4.7142906,4.7907057,6.0550976,4.6963406,0.95453405,4.855366,4.877095,4.666438,4.765567,6.061913,4.7127857,0.9292547,4.859912,4.879822,4.703539,4.788989,-1,-1,0,-1,0,0,0,-0.04015640000000076,0.006815399999999805,zero_shot_beats_agentic,clarity
38,sports,"The second round of the playoffs are up next, but there's still one more thing to settle when it comes to last week's postseason openers. Who was the Grand Rapids area's top player? It's not an easy question because there were plenty of good choices. Check out the candidates below and vote for your favorite. Votes as many times as you want through 9 a.m. Friday. Just remember to have fun with ...",zero_shot,original,Vote for Grand Rapids Player of the Week 10,The headline is somewhat clear but lacks specificity about the event timing and context.,0.004300327,3,4,2,3,4,3,Voting Open for Grand Rapids Area's Top Player from Postseason Openers,"Clearly states the purpose and context of the voting, making it informative and engaging.",8.158256e-05,5,5,5,4,5,5,Voting Open for Grand Rapids Area's Top Player from Postseason Openers,"Identical to 'zero_shot', providing accurate information about the voting context.",8.158256e-05,5,5,5,4,5,5,Vote for Grand Rapids' Top Player from Last Week's Playoff Openers,Accurate and clear but slightly less attractive than the zero-shot options.,0.0013418237,5,4,4,3,5,4,6.035014,4.4290366,0.5620171,4.6672597,4.803702,4.1319947,4.346362,6.035014,4.4290366,0.5620171,4.6672597,4.803702,4.1319947,4.346362,6.182954,4.5592785,0.47328162,4.7775927,4.8598137,4.398122,4.559599,-1,-1,0,-1,-1,-1,0,0.1479399999999993,0.1479399999999993,local_reward_overestimates_agentic,"clarity, specificity, attractiveness"
39,sports,A Hawaii man has fulfilled a dream shared by shore fishermen throughout the islands with the catch of an ulua weighing 100 pounds or more.,zero_shot,agentic_selected,Hawaii angler lands rare giant ulua,Accurately conveys the catch but lacks detail on the weight.,0.00011230423,5,5,4,4,5,4,"Hawaii Man Catches Over 100-Pound Ulua, Fulfilling Fisherman's Dream",Provides clear details on the catch and context of fulfillment.,0.000214966,5,5,5,5,5,5,"Hawaii Man Catches Over 100-Pound Ulua, Fulfilling Fisherman's Dream",Identical to zero_shot; effectively communicates the key details.,0.000214966,5,5,5,5,5,5,"Hawaii Man Catches 100-Pound Ulua, Realizing Fishermen's Dream",Similar to other variants but slightly less specific on the weight.,0.00018531973,5,5,4,4,5,4,6.602852,4.726201,0.975702,4.866301,4.8728333,4.761167,4.811717,6.602852,4.726201,0.975702,4.866301,4.8728333,4.761167,4.811717,6.5783052,4.722074,0.9279218,4.866071,4.876852,4.746889,4.8062925,-1,-1,0,0,-1,-1,0,-0.024546800000000424,-0.024546800000000424,zero_shot_beats_agentic,"specificity, attractiveness"
40,autos,"UPDATE @ 12:16 a.m. (Oct. 25): The state patrol is working to determine who went left of center in the head-on collision along U.S. 127 south of Camden that left one dead and two others with serious, non-life threatening injuries, said Sgt. Dallas Root, Dayton Post.",original,agentic_selected,"1 dead, 2 injured in U.S. 127 head-on collision near Camden, state patrol says",Accurately summarizes the incident with clear details.,9.134633e-05,5,5,5,4,5,5,"Head-on collision on U.S. 127 leaves one dead, two injured",Covers the main facts of the collision clearly and accurately.,8.697308e-05,5,5,5,4,5,5,"Head-on collision on U.S. 127 leaves one dead, two injured","Same as zero_shot, accurately presents key information.",8.697308e-05,5,5,5,4,5,5,State Patrol Investigates Fatal Collision on U.S. 127 Near Camden,"Highlights the investigation aspect, but less emphasis on the impact of the accident.",6.342117e-05,5,4,5,4,5,4,6.2145114,4.6366563,0.26808536,4.841213,4.8792343,4.5813694,4.697812,6.2145114,4.6366563,0.26808536,4.841213,4.8792343,4.5813694,4.697812,6.3182197,4.6634865,0.44255427,4.8562145,4.8730145,4.6371746,4.737109,-1,-1,0,-1,0,0,0,0.10370830000000009,0.10370830000000009,local_reward_overestimates_agentic,clarity
41,finance,"Losing Game 5 of the National League Division Series was crushing, but losing the tomahawk chop as well would be too much for Kevin Mooneyhan.",agentic_selected,optimized,"Online petition to keep divisive Braves tomahawk chop nears 60,000",Captures the main event and context regarding the tomahawk chop.,9.038092e-05,5,5,5,4,5,4,Kevin Mooneyhan faces disappointment after Game 5 loss and losing tomahawk chop,Mixes Game loss and chop; clear but less focused.,0.00036489815,4,4,4,3,5,4,Kevin Mooneyhan faces disappointment after Game 5 loss and losing tomahawk chop,Similar to zero_shot; clear but lacks unique distinction.,0.00036489815,4,4,4,3,5,4,Kevin Mooneyhan Reflects on Loss in Game 5 and Tomahawk Chop,Comprehensive and reflective; well-balanced in context.,0.00012714023,5,5,5,4,5,5,5.144972,3.697583,0.73155016,3.8483732,4.0474596,3.4811952,3.5298438,5.144972,3.697583,0.73155016,3.8483732,4.0474596,3.4811952,3.5298438,6.4336085,4.6690664,0.7201176,4.8427653,4.8645926,4.663273,4.745376,1,1,1,1,1,1,0,1.2886365,1.2886365,agentic_beats_zero_shot,
42,weather,Fort Collins is celebrating the 20th anniversary of the city's climate action efforts with a free event at the Lincoln Center.,agentic_selected,optimized,"Fort Collins, CSU hosting event to celebrate 20 years of climate action",Accurate and informative but could specify the location of the event.,9.096689e-05,5,5,4,4,5,4,Fort Collins marks 20 years of climate action with free event,"Clear and accurate, but lacks specific location detail.",0.00013578494,5,5,4,4,5,4,Fort Collins marks 20 years of climate action with free event,"Similar to zero_shot, clear but needs location details.",0.00013578494,5,5,4,4,5,4,Fort Collins Marks 20th Anniversary of Climate Action with Free Lincoln Center Event,"Most specific and attractive, includes event location.",0.00013313103,5,5,5,5,5,5,6.2942867,4.5528107,0.8079828,4.7260475,4.7991915,4.4128466,4.575922,6.2942867,4.5528107,0.8079828,4.7260475,4.7991915,4.4128466,4.575922,6.6286316,4.714605,1.0596592,4.869922,4.8694277,4.7550554,4.8070583,1,1,0,0,1,1,0,0.3343449000000005,0.3343449000000005,agentic_beats_zero_shot,
43,news,"President Donald Trump on Monday equated the case of a hate crime allegation made by actor Jussie Smollett to the current impeachment process being imposed by Congress, calling both a ""scam.""",original,agentic_selected,Trump equates the Smollett case to impeachment inquiry,Accurately conveys Trump's comparison without embellishing.,0.0001542942,5,5,5,4,5,5,Trump Compares Jussie Smollett Hate Crime Allegation to Impeachment Process,Effectively summarizes the comparison while providing context.,0.002652174,5,5,5,4,5,5,Trump Compares Jussie Smollett Hate Crime Allegation to Impeachment Process,Similar to zero_shot; presents a clear comparison.,0.002652174,5,5,5,4,5,5,Trump Calls Jussie Smollett's Hate Crime Allegation a 'Scam,"Includes 'scam' which adds an emotional tone, but clear overall.",0.0033478625,5,4,5,4,5,4,6.4602175,4.664969,0.7884085,4.8514423,4.87381,4.6614323,4.7372503,6.4602175,4.664969,0.7884085,4.8514423,4.87381,4.6614323,4.7372503,6.4128914,4.655058,0.7281897,4.8236523,4.873507,4.6257715,4.7194347,-1,-1,0,-1,0,0,0,-0.04732609999999937,-0.04732609999999937,zero_shot_beats_agentic,clarity
44,finance,"If you're apartment hunting, you know how hard it can be to find a bargain nearby. So what does the low-end rental price in Zilker look like these days?",original,optimized,"The most affordable apartments for rent in Zilker, Austin",Clearly states the focus on affordable rentals in a specific area.,0.18665883,5,5,4,4,5,4,Low-End Rental Prices in Zilker Trending for Apartment Hunters,Captures the trend in low-end rentals but lacks specificity on pricing.,0.0001268381,4,4,4,4,5,4,Low-End Rental Prices in Zilker Trending for Apartment Hunters,"Similar to zero_shot, it mentions trends but not specific details.",0.0001268381,4,4,4,4,5,4,Current Low-End Rental Prices in Zilker for Apartment Hunters,"Directly addresses current rental prices, clear and specific.",8.164996e-05,5,5,4,4,5,4,6.1685076,4.6052065,0.30979225,4.7901707,4.863282,4.4689283,4.64237,6.1685076,4.6052065,0.30979225,4.7901707,4.863282,4.4689283,4.64237,6.223727,4.609781,0.4329515,4.7985144,4.862555,4.4716196,4.643513,0,0,1,1,0,0,0,0.05521940000000036,0.05521940000000036,tie_or_mixed,
45,health,"Often marketed as a natural solution to aches and pains, CBD can now be found in food, drinks, and even skincare products.",zero_shot,original,8 Questions to Ask Yourself Before Using CBD,"The headline poses questions, but does not reflect the summary about CBD's availability.",0.99996746,3,4,3,3,4,3,"CBD is increasingly available in food, drinks, and skincare products",Accurately reflects the summary and is clear and informative.,0.00073071814,5,5,5,4,5,5,"CBD is increasingly available in food, drinks, and skincare products","Same as zero_shot, very effective as a headline.",0.00073071814,5,5,5,4,5,5,"CBD Gains Popularity in Food, Drinks, and Skincare Products","Captivating and relevant, but less clear than zero_shot and optimized.",7.551396e-05,5,4,5,4,5,4,6.4204497,4.6032143,0.9842398,4.774933,4.8484483,4.4282274,4.6507316,6.4204497,4.6032143,0.9842398,4.774933,4.8484483,4.4282274,4.6507316,6.3747034,4.5722513,0.9429402,4.762372,4.822989,4.4165363,4.61939,-1,-1,0,-1,0,0,0,-0.04574630000000024,-0.04574630000000024,zero_shot_beats_agentic,clarity
