seed_id,category,summary,original_headline,original_rationale,original_faithfulness,original_clarity,original_specificity,original_attractiveness,original_non_clickbait,original_overall,generic_sft_headline,generic_sft_rationale,generic_sft_faithfulness,generic_sft_clarity,generic_sft_specificity,generic_sft_attractiveness,generic_sft_non_clickbait,generic_sft_overall,specificity_sft_headline,specificity_sft_rationale,specificity_sft_faithfulness,specificity_sft_clarity,specificity_sft_specificity,specificity_sft_attractiveness,specificity_sft_non_clickbait,specificity_sft_overall,original_clickbait_penalty,original_quality_reward,original_pairwise_reward,original_final_score,original_reference_token_f1,original_summary_support_rate,original_headline_word_count,original_has_specific_signal,generic_sft_clickbait_penalty,generic_sft_quality_reward,generic_sft_pairwise_reward,generic_sft_final_score,generic_sft_reference_token_f1,generic_sft_summary_support_rate,generic_sft_headline_word_count,generic_sft_has_specific_signal,specificity_sft_clickbait_penalty,specificity_sft_quality_reward,specificity_sft_pairwise_reward,specificity_sft_final_score,specificity_sft_reference_token_f1,specificity_sft_summary_support_rate,specificity_sft_headline_word_count,specificity_sft_has_specific_signal,specificity_minus_generic_faithfulness,specificity_minus_original_faithfulness,generic_minus_original_faithfulness,specificity_minus_generic_clarity,specificity_minus_original_clarity,generic_minus_original_clarity,specificity_minus_generic_specificity,specificity_minus_original_specificity,generic_minus_original_specificity,specificity_minus_generic_attractiveness,specificity_minus_original_attractiveness,generic_minus_original_attractiveness,specificity_minus_generic_non_clickbait,specificity_minus_original_non_clickbait,generic_minus_original_non_clickbait,specificity_minus_generic_overall,specificity_minus_original_overall,generic_minus_original_overall,failure_group
24,news,WATERBURY A tractor-trailer found itself stuck under a railroad bridge Monday morning. Police said the truck wedge itself under the bridge at West Main Street and Sperry Street. There were some delays in the area while they worked to remove the truck. It's unknown at this time if there was any structural damage to the bridge. Traffic Accident Tractor Trailer stuck under R&R bridge West ...,Tractor-trailer wedges itself under Waterbury bridge Monday morning,It accurately conveys the main event and location in a clear manner.,5.0,5.0,5.0,4.0,5.0,5.0,tractor-trailer found stuck under railroad bridge,"While it is clear and faithful, it lacks specificity on the location.",5.0,5.0,4.0,3.0,5.0,4.0,tractor-trailer found stuck under railroad bridge,Similar to generic_sft; lacks the exact location under the bridge.,5.0,5.0,4.0,3.0,5.0,4.0,0.00012932527,4.6814294,0.87613666,4.9003987,1.0,0.8888888888888888,9,True,0.00015205884,4.642115,0.75776386,4.8314805,0.5,1.0,7,False,0.00015205884,4.642115,0.75776386,4.8314805,0.5,1.0,7,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,original_best_sft_tie
25,lifestyle,Adam's Corner and Fisher House provide military families resources such as housing and child care.,Adam's Corner celebrates the bravery of our Armed Forces and bring joy to children | Opinion,"While it mentions Adam's Corner and the Armed Forces, it includes opinion framing and lacks specific event focus.",3.0,4.0,3.0,3.0,4.0,3.0,Adam's Corner and Fisher House provide military families resources,Accurately describes the resources provided by both organizations; clear and precise.,5.0,5.0,5.0,4.0,5.0,5.0,Adam's Corner and Fisher House provide military family resources,"Similar to generic_sft, it conveys essential information without embellishment.",5.0,5.0,5.0,4.0,5.0,5.0,0.9999305,2.6145205,0.081017315,2.1348097,1.0,0.1818181818181818,15,True,0.00012341484,4.7063727,1.0990317,4.981069,0.2105263157894737,1.0,9,True,0.00011874415,4.7064667,1.0887712,4.9786,0.2105263157894737,0.875,9,True,0.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,sft_tie
26,news,"A Sacramento man has opened his doors to a Healdsburg couple and their 18 dogs, 11 of which are five-week-old puppies.",Sacramento Man Takes Wildfire Evacuees And Their 18 Dogs,Directly informs about the actions of the man and the situation of the evacuees.,5.0,5.0,5.0,5.0,5.0,5.0,"Sacramento man opens doors to 18 dogs, 11 of which are five-week-old puppies",Clear but less engaging than the original; it reads more like a statement.,5.0,4.0,5.0,4.0,5.0,4.0,"Sacramento man opens doors to 18 dogs, 11 of which are five-week-old puppies",Identical to generic_sft; same clarity and engagement level.,5.0,4.0,5.0,4.0,5.0,4.0,0.00017466304,4.0969524,0.5988691,4.2465825,1.0,0.5714285714285714,9,True,0.00066612783,4.704775,1.0103173,4.957021,0.3529411764705882,0.9,15,True,0.00066612783,4.704775,1.0103173,4.957021,0.3529411764705882,0.9,15,True,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,original_best_sft_tie
27,sports,Check out photos from the Monster Energy NASCAR Cup Series and NASCAR Xfinity Series playoff weekend at Kansas Speedway.,At-track photos: 2019 Kansas playoff weekend,The headline accurately conveys the essence of the event and is clear and engaging.,5.0,5.0,5.0,4.0,5.0,5.0,Monster Energy NASCAR Cup Series and NASCAR Xfinity Series playoff weekend at Kansas Speedway,"While accurate, it's more of a detailed statement than a headline, making it less engaging.",5.0,4.0,5.0,3.0,5.0,4.0,Monster Energy NASCAR Cup Series and NASCAR Xfinity Series playoff weekend at Kansas Speedway,"Similar to the generic variant, it's specific but lacks the succinctness of a strong headline.",5.0,4.0,5.0,3.0,5.0,4.0,0.00013012187,4.681156,0.6652301,4.8473988,1.0,0.6666666666666666,7,True,9.216643e-05,4.684589,0.82279813,4.890242,0.3749999999999999,1.0,14,True,9.216643e-05,4.684589,0.82279813,4.890242,0.3749999999999999,1.0,14,True,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,original_best_sft_tie
28,sports,"Frank Vogel is aware of the great situation he's in with the Lakers, and he wants to make the best of it.","Frank Vogel says Lakers are 'coolest organization in the NBA,' calls coaching LeBron James and rest of team 'opportunity of a lifetime'",The headline accurately captures the essence of Vogel's statements and is clear and engaging.,5.0,5.0,5.0,5.0,5.0,5.0,"Lakers' Frank Vogel wants to make the best of it, and he wants to make the best of it",The headline is somewhat clear but repeats the same phrase and lacks specificity.,3.0,4.0,2.0,2.0,4.0,3.0,"Lakers' Frank Vogel is aware of the great situation he's in with the Lakers, and wants to make the best of it",The headline holds a good level of detail but is lengthy and less engaging.,4.0,4.0,4.0,3.0,4.0,4.0,0.00010999188,3.9569142,0.42614108,4.0633945,1.0,0.2,23,True,0.00034570985,4.424461,0.42003822,4.5292974,0.1904761904761904,0.8333333333333334,19,True,0.023951467,4.639699,0.7084352,4.804832,0.2307692307692307,0.9090909090909092,22,True,1.0,-1.0,-2.0,0.0,-1.0,-1.0,2.0,-1.0,-3.0,1.0,-2.0,-3.0,0.0,-1.0,-1.0,1.0,-1.0,-2.0,original_best_specificity_above_generic
29,finance,"PROVIDENCE -- Rhode Island's seasonally adjusted unemployment rage for October was 3.6 percent, the same as September, the state Department of Labor and Training announced Thursday The number of unemployed Rhode Island residents -- those residents classified as available for and actively seeking employment -- was 19,900, down 100 from September, the DLT said. The number of employed Rhode ...","R.I. unemployment rate stays at 3.6%, same as U.S.",Accurately conveys the content but lacks a strong hook.,4.0,4.0,4.0,3.0,5.0,4.0,"Rhode Island's seasonally adjusted unemployment rage for October was 3.6 percent, the same as September",Too much detail for a headline; lacks engagement.,3.0,3.0,3.0,1.0,2.0,2.0,"Rhode Island's unemployment rage for October was 3.6 percent, the same as September",Similar issues as the generic version; lacks appeal.,3.0,3.0,3.0,1.0,2.0,2.0,7.121261e-05,4.0565805,0.46698028,4.17329,1.0,0.5,12,True,0.0001754243,4.706795,0.98863304,4.9538655,0.2666666666666666,1.0,16,True,0.00012869589,4.703069,0.92887187,4.9352226,0.3076923076923076,1.0,14,True,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-2.0,-2.0,0.0,-3.0,-3.0,0.0,-2.0,-2.0,original_best_sft_tie
30,finance,Curious just how far your dollar goes in Pleasant Valley? Here's what you can get in neighborhood apartment rentals for $900/month.,What apartments will $900 rent you in Pleasant Valley right now?,Clearly states the subject and specifics of the rental market.,5.0,5.0,5.0,4.0,5.0,5.0,How to rent a neighborhood apartment in Pleasant Valley? Here's what you can get in neighborhood apartment rentals for $900/month,Vague phrasing and unnecessary wording detracts from clarity and attractiveness.,4.0,4.0,3.0,3.0,4.0,3.0,Apartment rentals for $900/month in Pleasant Valley: What you can get in neighborhood apartment rentals for $900/month,Includes specific details but is too repetitive and lengthy to be a strong headline.,4.0,4.0,5.0,3.0,4.0,4.0,0.00046313612,4.67382,0.31362924,4.7519956,1.0,0.5,11,True,0.9999503,4.632464,0.74487644,4.318708,0.5217391304347826,0.9230769230769232,21,True,0.9998155,4.69915,0.8974452,4.4236035,0.4761904761904761,1.0,19,True,0.0,-1.0,-1.0,0.0,-1.0,-1.0,2.0,0.0,-2.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,1.0,-1.0,-2.0,original_best_specificity_above_generic
31,autos,"Duane Roots' 1,500hp 6.2L Hemi Charger Hellcat runs on E90 and nitrous, with a huge helping of boost (18 psi) from a 4.5L Whipple blower.","Horsepower! The 1,500hp Hellcat King","While interesting and catchy, it lacks specific details about the car's setup.",3.0,4.0,2.0,4.0,3.0,3.0,Duane Roots' 6.2L Hemi Charger Hellcat runs on E90 and nitrous,"Covers the main points accurately and clearly, but is a bit dry.",5.0,5.0,4.0,3.0,5.0,4.0,Duane Roots' 6.2L Hemi Charger Hellcat runs on E90 and nitrous,"Identical to the generic variant, maintaining high fidelity and clarity.",5.0,5.0,4.0,3.0,5.0,4.0,0.9994406,3.0901897,0.0038549714,2.591433,1.0,0.5,6,True,0.00026317057,4.701232,1.0434586,4.961965,0.1666666666666666,1.0,12,True,0.00026317057,4.701232,1.0434586,4.961965,0.1666666666666666,1.0,12,True,0.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,-1.0,-1.0,0.0,2.0,2.0,0.0,1.0,1.0,sft_tie
32,autos,Interstate 70 has reopened near Hoke Road after a rollover crash left all westbound lanes closed around 1 a.m.,I-70 westbound reopened after single-car rollover crash,"This headline is clear, specific, and accurately reflects the event without exaggeration.",5.0,5.0,4.0,4.0,5.0,5.0,Interstate 70 reopens near Hoke Road after rollover crash leaves all westbound lanes closed,This variant includes all necessary details and is clear and precise.,5.0,5.0,5.0,4.0,5.0,5.0,Interstate 70 reopens near Hoke Road after rollover crash,"While this is clear and accurate, it lacks detail about the lane closures.",5.0,5.0,4.0,4.0,5.0,5.0,9.55977e-05,4.697409,0.6329149,4.8555903,1.0,0.7142857142857143,9,True,8.146734e-05,4.7064185,0.9228218,4.9370832,0.4,0.8461538461538461,14,True,6.635214e-05,4.704819,0.81663877,4.9089456,0.3999999999999999,0.875,9,True,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sft_tie
33,autos,"State Highway Patrol troopers tried to stop a vehicle after it went left of center around 2:19 a.m. on Park Road near state Route 49, according to a release from Wapakoneta Ohio State Highway Patrol.","Troopers attempt to stop impaired driver, ends with vehicle into tree",Directly reports the attempt to stop the driver and the outcome.,5.0,5.0,4.0,4.0,5.0,5.0,State Highway Patrol troopers try to stop vehicle after it went left of center at 2:19 a.m.,Accurate but lacks the event's impactful outcome.,4.0,5.0,4.0,3.0,5.0,4.0,State Highway Patrol troopers try to stop vehicle after it went left of center at 2:19 a.m.,"Identical to generic_sft, with the same strengths and weaknesses.",4.0,5.0,4.0,3.0,5.0,4.0,0.00016354205,3.847341,0.49216652,3.970301,1.0,0.3333333333333333,11,False,0.0002562841,4.6878505,0.936931,4.921955,0.3,0.9090909090909092,19,True,0.0002562841,4.6878505,0.936931,4.921955,0.3,0.9090909090909092,19,True,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,original_best_sft_tie
34,sports,"With the Miami Dolphins rebuilding and holding three 2020 first-round picks in the NFL draft, it is never too early to watch some of the top prospects across the college landscape. Week 11 of the college football season offers a few great opportunities to view some of these players in action against some of the best teams in the nation. Here's a look at a few top players you can watch in South ...",Do some couch scouting for Dolphins draft: Here are top prospects to watch this weekend,Accurately reflects the summary and is engaging without being clickbait.,5.0,5.0,5.0,4.0,5.0,5.0,Miami Dolphins: Top players you can watch in South &lt;b&gt;...&lt;/b&gt,Vague and lacks detail; does not specify which players or events.,3.0,3.0,2.0,3.0,4.0,3.0,Miami Dolphins' top players in action against some of the best teams in the nation,Somewhat specific but misleads by suggesting results against top teams; lacks engagement.,4.0,4.0,4.0,3.0,4.0,4.0,0.99962175,4.676055,0.4416014,4.2866445,1.0,0.6,15,True,0.018361978,4.414971,0.49845496,4.5304036,0.3333333333333332,1.0,15,True,0.0003926084,4.686681,0.54796934,4.823477,0.2,0.9,15,True,1.0,-1.0,-2.0,1.0,-1.0,-2.0,2.0,-1.0,-3.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,1.0,-1.0,-2.0,original_best_specificity_above_generic
35,sports,"HOUSTON The Astros have a reputation for being good at stealing signs and picking up on opposing pitchers' small tells, especially at Minute Maid Park. The Yankees know all too well what the Astros are capable of. In April, James Paxton got hit hard, allowing five earned runs on eight hits in just four innings work here. After that, the Yankees left-hander, who will start Game 2 for the Yankees Sunday night, said he was told he was tipping...","James Paxton, Yankees know Astros can and will pick up on pitching signs",Addresses the main theme but lacks a direct action or consequence.,4.0,4.0,4.0,3.0,4.0,3.0,Astros are good at stealing signs and picking up on opposing pitchers' small tells,Describes a fact but lacks context and is too vague.,3.0,3.0,3.0,3.0,4.0,3.0,"Astros' James Paxton gets hit hard, allowing five earned runs on eight hits in just four innings",Very specific but focuses on past performance rather than current implications.,4.0,4.0,5.0,3.0,5.0,4.0,0.00011176088,3.8904212,0.6751603,4.0591555,1.0,0.7,13,True,0.00010344009,4.670309,0.7563939,4.859356,0.2105263157894737,1.0,14,False,9.46852e-05,4.6882997,0.7627902,4.87895,0.16,0.8666666666666667,17,True,1.0,0.0,-1.0,1.0,0.0,-1.0,2.0,1.0,-1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,specificity_best
36,health,Intentionally infecting healthy people with the virus will enable scientists to better understand the progression of the illness.,Spreading the flu is putting researchers one step closer to a universal vaccine,The headline hints at a benefit but somewhat incorrectly implies a direct link to a universal vaccine without sufficient context.,4.0,4.0,3.0,3.0,4.0,3.0,Intentionally infecting healthy people with the virus will enable scientists to better understand the progression of the illness,"Accurately reflects the summary with clarity and detail, though less attractive.",5.0,5.0,5.0,3.0,5.0,5.0,Intentionally infecting healthy people with the virus will enable scientists to better understand the progression of the illness,"Identical to the generic variant, maintaining high scores.",5.0,5.0,5.0,3.0,5.0,5.0,0.00031975002,4.20595,0.18244514,4.2514014,1.0,0.0,13,False,0.99906117,4.699095,1.0954413,4.4734244,0.0,1.0,18,False,0.99906117,4.699095,1.0954413,4.4734244,0.0,1.0,18,False,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,2.0,sft_tie
37,lifestyle,"You won't believe these wedding gowns are made from only Quilted Northern toilet paper, tape, glue, and a needle and thread.",These 12 exquisite wedding dresses are made from toilet paper,The headline is engaging and mostly accurate but doesn't specify the materials fully.,4.0,5.0,3.0,4.0,4.0,4.0,"You won't believe these wedding gowns are made from only quilted Northern toilet paper, tape, glue, and a needle and thread",Very detailed but leans on clickbait with 'you won't believe'.,5.0,5.0,5.0,3.0,3.0,4.0,"Wedding gowns made from quilted Northern toilet paper, tape, glue, and a needle and thread",Highly specific and clear without clickbait elements.,5.0,5.0,5.0,4.0,5.0,5.0,0.9999778,4.398285,0.34846944,3.985413,1.0,0.7142857142857143,10,True,0.9999746,4.704188,1.0553148,4.4680295,0.4347826086956521,1.0,21,True,0.19242851,4.706021,0.9573439,4.8491426,0.4444444444444444,1.0,15,True,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,-1.0,2.0,1.0,-1.0,1.0,1.0,0.0,specificity_best
38,sports,"The second round of the playoffs are up next, but there's still one more thing to settle when it comes to last week's postseason openers. Who was the Grand Rapids area's top player? It's not an easy question because there were plenty of good choices. Check out the candidates below and vote for your favorite. Votes as many times as you want through 9 a.m. Friday. Just remember to have fun with ...",Vote for Grand Rapids Player of the Week 10,"Directly asks for votes for the specific player recognition, maintaining clarity and focus.",5.0,5.0,5.0,4.0,5.0,5.0,Grand Rapids vs. Grand Rapids: Who's the top player in the playoffs?,Misleading as it implies a matchup rather than voting for a player; lacks clarity and faithfulness.,3.0,3.0,2.0,3.0,2.0,2.0,Grand Rapids' top player votes for his favorite,"Incorrectly suggests a player is voting for others, which is not supported by the summary.",2.0,3.0,2.0,3.0,3.0,2.0,0.003879734,4.221615,0.24376963,4.280617,1.0,0.8,9,True,0.0003644629,3.9761634,0.14235209,4.011569,0.5454545454545454,0.8333333333333334,12,True,8.8042354e-05,4.3643913,0.39291412,4.462576,0.3333333333333333,0.7142857142857143,8,True,-1.0,-3.0,-2.0,0.0,-2.0,-2.0,0.0,-3.0,-3.0,0.0,-1.0,-1.0,1.0,-2.0,-3.0,0.0,-3.0,-3.0,original_best_sft_tie
39,sports,A Hawaii man has fulfilled a dream shared by shore fishermen throughout the islands with the catch of an ulua weighing 100 pounds or more.,Hawaii angler lands rare giant ulua,Accurately captures the achievement with clarity and is engaging.,5.0,5.0,5.0,4.0,5.0,5.0,Hawaii man fulfills dream of fishing with ulua weighing 100 pounds,Clearly states the achievement with a focus on the dream and the specifics of the catch.,5.0,5.0,5.0,5.0,5.0,5.0,Hawaii man catches ulua weighing 100 pounds,Directly mentions the catch but is slightly less engaging than others.,5.0,5.0,5.0,4.0,5.0,5.0,0.000116240124,4.559214,0.38218912,4.654703,1.0,0.3333333333333333,6,False,0.00038647145,4.707637,1.0035875,4.9583406,0.2666666666666666,0.7777777777777778,11,True,0.00010141076,4.7033997,0.87901276,4.9231024,0.3076923076923076,0.8571428571428571,7,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,sft_tie
40,autos,"UPDATE @ 12:16 a.m. (Oct. 25): The state patrol is working to determine who went left of center in the head-on collision along U.S. 127 south of Camden that left one dead and two others with serious, non-life threatening injuries, said Sgt. Dallas Root, Dayton Post.","1 dead, 2 injured in U.S. 127 head-on collision near Camden, state patrol says",Accurately summarizes the incident with clarity and specific details.,5.0,5.0,5.0,4.0,5.0,5.0,State patrol working to determine who went left of center in head-on collision along U.S. 127 south of Camden,Describes the investigation but lacks urgency and detail regarding casualties.,4.0,4.0,4.0,3.0,5.0,4.0,State patrol working to determine who went left of center in head-on collision along U.S. 127 south of Camden,Identical to generic_sft in content and lacks a focus on the incident's impact.,4.0,4.0,4.0,3.0,5.0,4.0,8.773277e-05,4.6603823,0.3169217,4.7395687,1.0,0.7,16,True,9.5001466e-05,4.686629,0.728106,4.8686075,0.5,1.0,21,True,9.5001466e-05,4.686629,0.728106,4.8686075,0.5,1.0,21,True,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,original_best_sft_tie
41,finance,"Losing Game 5 of the National League Division Series was crushing, but losing the tomahawk chop as well would be too much for Kevin Mooneyhan.","Online petition to keep divisive Braves tomahawk chop nears 60,000",Clearly states the main event and the petition's status.,5.0,5.0,5.0,4.0,5.0,5.0,Kevin Mooneyhan's tomahawk chop would be too much for Kevin Mooneyhan,Fails to convey relevant information and lacks clarity.,1.0,1.0,1.0,2.0,1.0,1.0,"Kevin Mooneyhan, Kevin Mooneyhan, Kevin Mooneyhan, Kevin Mooneyhan, Kevin Mooneyhan, Kevin Mooneyhan",Repetitive and provides no useful content.,1.0,1.0,1.0,1.0,1.0,1.0,8.491285e-05,4.595751,0.038991436,4.6054564,1.0,0.2222222222222222,11,True,0.99994445,4.684984,0.67781067,4.3544645,0.2352941176470588,0.875,11,True,0.99943537,4.6182847,0.6041342,4.2696004,0.0,1.0,12,True,0.0,-4.0,-4.0,0.0,-4.0,-4.0,0.0,-4.0,-4.0,-1.0,-3.0,-2.0,0.0,-4.0,-4.0,0.0,-4.0,-4.0,original_best_sft_tie
42,weather,Fort Collins is celebrating the 20th anniversary of the city's climate action efforts with a free event at the Lincoln Center.,"Fort Collins, CSU hosting event to celebrate 20 years of climate action","Clearly states the event, location, and significance while maintaining reader interest.",5.0,5.0,5.0,4.0,5.0,5.0,Fort Collins celebrates 20th anniversary of climate action efforts,"Accurately describes the event but lacks mention of the hosting entity, making it slightly less engaging.",5.0,4.0,4.0,3.0,5.0,4.0,Fort Collins celebrates 20th anniversary of climate action,"Similar to the generic headline, it delivers the core message but could be more engaging.",5.0,4.0,4.0,3.0,5.0,4.0,8.906225e-05,4.5472746,0.63773537,4.706664,1.0,0.5555555555555556,12,True,9.402209e-05,4.7006593,0.96010804,4.940639,0.4705882352941176,0.875,9,True,9.059293e-05,4.699092,0.84063005,4.909204,0.5,0.8571428571428571,8,True,0.0,0.0,0.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,-1.0,-1.0,original_best_sft_tie
43,news,"President Donald Trump on Monday equated the case of a hate crime allegation made by actor Jussie Smollett to the current impeachment process being imposed by Congress, calling both a ""scam.""",Trump equates the Smollett case to impeachment inquiry,Accurate and clear but slightly vague on context.,5.0,5.0,4.0,4.0,5.0,4.0,Trump equates hate crime allegation to current impeachment process,Clear and faithful but lacks personal detail about Smollett.,5.0,5.0,4.0,4.0,5.0,4.0,Trump equates case of hate crime allegation made by actor Jussie Smollett to current impeachment process,Highly specific but a bit lengthy for a headline.,5.0,4.0,5.0,3.0,5.0,4.0,0.00013501775,4.20361,0.6167507,4.35773,1.0,0.6666666666666666,8,True,0.00014193199,4.615713,0.77742577,4.8099985,0.4285714285714285,0.875,9,False,0.0003274819,4.692116,1.0699288,4.9594345,0.5263157894736842,0.9230769230769232,16,True,0.0,0.0,0.0,-1.0,-1.0,0.0,1.0,1.0,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,sft_tie
44,finance,"If you're apartment hunting, you know how hard it can be to find a bargain nearby. So what does the low-end rental price in Zilker look like these days?","The most affordable apartments for rent in Zilker, Austin",Directly states the focus on affordable apartments in Zilker.,5.0,5.0,5.0,4.0,5.0,5.0,Apartments in Zilker: What's the best way to find a low-end rental price in Zilker?,Asks a question instead of stating information; less clear and engaging.,3.0,4.0,4.0,3.0,4.0,3.0,"Zilker's low-end rental price is a bit of a bargain, but it's worth it",Vague phrasing about bargains and lacks specific actionable information.,2.0,3.0,3.0,2.0,3.0,2.0,0.058436144,3.6179338,0.15410098,3.6272411,1.0,0.1666666666666666,9,True,0.0002062051,4.1679826,0.28145468,4.238243,0.25,0.6,16,True,0.00027522008,4.267611,0.1548807,4.3061934,0.0,0.5,15,False,-1.0,-3.0,-2.0,-1.0,-2.0,-1.0,-1.0,-2.0,-1.0,-1.0,-2.0,-1.0,-1.0,-2.0,-1.0,-1.0,-3.0,-2.0,original_best_generic_above_specificity
45,health,"Often marketed as a natural solution to aches and pains, CBD can now be found in food, drinks, and even skincare products.",8 Questions to Ask Yourself Before Using CBD,The headline poses questions but doesn't accurately reflect the summary's main focus on CBD's presence in various products.,2.0,3.0,2.0,3.0,3.0,2.0,"CBD can be found in food, drinks, and even skincare products",This headline accurately reflects the summary and is clear and specific about where CBD can be found.,5.0,5.0,5.0,4.0,5.0,5.0,CBD marketed as a natural solution to aches and pains,"While it captures some specifics about CBD, it lacks clarity on its availability in various products.",4.0,4.0,4.0,3.0,5.0,4.0,0.9999633,3.5608222,0.24317516,3.1216345,1.0,0.1666666666666666,8,True,0.00053148175,4.671669,1.0298139,4.928857,0.1428571428571428,1.0,11,False,0.00015951278,4.6690483,1.0534391,4.9323287,0.1666666666666666,1.0,10,False,-1.0,2.0,3.0,-1.0,1.0,2.0,-1.0,2.0,3.0,-1.0,0.0,1.0,0.0,2.0,2.0,-1.0,2.0,3.0,generic_best
46,foodanddrink,"Eat the Frog Fitness and MOOYAH Burgers, Fries & Shakes are headed for Hill Center Brentwood.",2 more business openings on tap at Hill Center Brentwood,"While it refers to openings, it lacks specifics of the businesses involved.",3.0,4.0,3.0,3.0,4.0,3.0,"Frog Fitness, MOOYAH Burgers, Fries & Shakes heading for Hill Center Brentwood","Clearly lists both businesses and location, making it informative and specific.",5.0,5.0,5.0,4.0,5.0,5.0,"Frog Fitness, MOOYAH Burgers, Fries & Shakes heading for Hill Center Brentwood","Identical to the generic variant, providing all necessary details without extra fluff.",5.0,5.0,5.0,4.0,5.0,5.0,0.00010116273,2.8762481,0.24061696,2.9363518,1.0,0.4285714285714285,10,True,0.90094286,4.7071924,1.079489,4.526593,0.3529411764705882,0.9,11,True,0.90094286,4.7071924,1.079489,4.526593,0.3529411764705882,0.9,11,True,0.0,2.0,2.0,0.0,1.0,1.0,0.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,2.0,2.0,sft_tie
47,news,"LEBANON, Pa. -There's an unrepaired sinkhole in a Lebanon neighborhood and it's causing more problems than one. The location of it has people playing the blame game and now it's all falling back on one person. The hole on Elm Street is causing a whole lot of problems for Debbie Carpenter of Lebanon. ""I'm very stressed,"" Carpenter said. ""I'm very upset about this whole thing. I just want it to ...","City, resident at odds over sinkhole repair in Lebanon",The headline accurately reflects the main conflict and includes the key figures involved.,5.0,5.0,4.0,4.0,5.0,5.0,Unrepaired sinkhole in Lebanon's Elm Street causes more problems than one,The headline is clear and specific but lacks emphasis on the conflict.,4.0,5.0,5.0,4.0,5.0,4.0,Unrepaired sinkhole in Lebanon's Elm Street causes more problems than one,"Identical to the generic version, it is clear and specific but lacks conflict emphasis.",4.0,5.0,5.0,4.0,5.0,4.0,6.360105e-05,3.5436752,0.13837345,3.5782368,1.0,0.2857142857142857,9,True,9.8956545e-05,4.612174,0.80976343,4.814565,0.1176470588235294,0.8,11,True,9.8956545e-05,4.612174,0.80976343,4.814565,0.1176470588235294,0.8,11,True,0.0,-1.0,-1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,original_best_sft_tie
48,travel,"A fading piece of Americana, bobwhite quail are iconic in Texas. The tradition of hunting them with friends and family is a social experience that can be second to none. ""Once people do it and experience it, it's something they'll never forget. The first flush of wild quail, how your heart jumps in your throat you feel like you're about to have a heart attack,"" said Robert Perez, upland game bird program leader for the Texas Parks and Wildlife...",Texas quail rebounding after a dismal 2018,The headline addresses a specific issue about quail in Texas but lacks mention of the hunting tradition.,4.0,5.0,3.0,4.0,5.0,4.0,"'Once people do it and experience it, it's something they'll never forget'",This is a quote but lacks context and does not serve as a strong headline.,3.0,4.0,1.0,2.0,5.0,3.0,"Wild bobwhite quail, a fading piece of Americana, are iconic in Texas","It is specific and clear, but not particularly engaging as a headline.",4.0,5.0,5.0,3.0,5.0,4.0,0.00018981568,3.9442441,0.19441535,3.992753,1.0,0.3333333333333333,7,True,0.99989617,4.1677895,0.3309504,3.7505789,0.0,0.75,12,False,0.9841628,4.6415215,0.6411332,4.309723,0.2857142857142857,1.0,12,True,1.0,0.0,-1.0,1.0,0.0,-1.0,4.0,2.0,-2.0,1.0,-1.0,-2.0,0.0,0.0,0.0,1.0,0.0,-1.0,specificity_best
